lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
"38.74643,-121.26498",38.74643,-121.26498,"Antelope,MT",11/8/2022 1:00,23,na,75,1.5,23.3,4,21
"41.5503,-73.0442",41.5503,-73.0442,"Waterbury,NE",11/8/2022 4:00,23,na,10,na,na,na,23
"19.71756222,-155.1105295",19.71756222,-155.1105295,"Chilo,OH",11/7/2022 23:00,5,na,94,na,na,na,5
"56.464258,-2.971386",56.464258,-2.971386,"Dundee,MN",11/3/2022 9:00,28,na,81,33.7,na,13,28
"40.597988305117,-111.89417474947",40.59798831,-111.8941747,"Draper,SD",11/8/2022 2:00,26,0.7,42,1.9,25.6,na,18
"47.9071,1.90109",47.9071,1.90109,"Olivet,KS",11/8/2022 8:00,20,na,73.5,12.1,19.7,14,24
"43.098908,-75.22507",43.098908,-75.22507,"Utica,SD",11/8/2022 4:00,23,na,79,na,na,na,23
"36.33252,-119.29095",36.33252,-119.29095,"Buena Vista,TX",12/15/2021 9:00,30,na,79,6.5,15.2,7,30
"52.294884,-1.542911",52.294884,-1.542911,"Warwick,ND",11/8/2022 9:00,35,na,84,3.7,35.4,10,23
"38.656449,-90.198548",38.656449,-90.198548,"Mound City,SD",11/8/2022 3:00,34,3.4,66,9.2,14.5,22,34
"26.27,-81.710833333333",26.27,-81.71083333,"Golden Gate,IL",11/7/2022 20:00,35,na,26,na,13.5,15,35
"39.954592,116.468117",39.954592,116.468117,"Pekin,ND",11/8/2022 17:00,112,2.8,40,16,24.8,59,112
"28.635759353638,77.224449157715",28.63575935,77.22444916,"Delhi,MN",11/8/2022 15:00,307,na,46.5,na,na,na,307
"59.3408269502832,18.0582536812784",59.34082695,18.05825368,"Stockholm,WI",11/8/2022 10:00,6,0.1,96.5,10.1,na,6,na
"40.739264,-73.817694",40.739264,-73.817694,"Whitestone,AK",11/8/2022 4:00,26,1.4,49,5.9,20.8,na,26
"42.642253,-73.754576",42.642253,-73.754576,"Albany,OK",11/8/2022 4:00,23,2.3,64.6,na,2,na,23
"31.3492,-109.539683",31.3492,-109.539683,"Douglas,ND",11/8/2022 2:00,29,na,38.3,na,na,29,na
"52.077148,4.289185",52.077148,4.289185,"Hague,ND",11/8/2022 10:00,23,na,78,11,13.4,5,23
"44.089355,-70.214134",44.089355,-70.214134,"Lewiston,NE",11/8/2022 4:00,21,na,45,na,na,na,21
"45.104332,7.6964231",45.104332,7.6964231,"Turin,IA",11/8/2022 7:00,3,0.1,69,21.5,2.9,26,53
"37.74306,-122.16994",37.74306,-122.16994,"Ashland,OK",11/8/2022 1:00,25,2.3,85,3.2,24.1,na,25
"32.836602,-79.956983",32.836602,-79.956983,"Saxon,WI",7/6/2022 13:00,28,na,68.5,4.7,na,na,28
"41.9875,21.6525",41.9875,21.6525,"Macedonia,IL",11/8/2022 10:00,75,157.4,87,6.5,1.5,21,75
"28.090277777778,-82.700833333333",28.09027778,-82.70083333,"Keystone,NE",11/7/2022 20:00,30,2.5,83.5,1,13.9,na,30
"-36.784653741124,-73.052063025795",-36.78465374,-73.05206303,"Concepcion,TX",11/8/2022 4:00,46,5.9,76,4.2,5.6,14,46
"39.10465,-94.57055",39.10465,-94.57055,"Westport,MN",11/8/2022 3:00,16,na,49,4.8,na,16,1
"40.3097,-78.9158",40.3097,-78.9158,"Johnstown,NE",11/8/2022 3:00,25,3.4,74,3.8,30.4,14,25
"42.474671,-70.971358",42.474671,-70.971358,"Lynn,CO",11/8/2022 3:00,20,1.2,47,0.6,20,na,17
"37.793635,-122.263356",37.793635,-122.263356,"Oak,NE",11/8/2022 1:00,17,1.2,84,3.6,na,na,17
"36.98401,-121.99097",36.98401,-121.99097,"Santa Cruz,AZ",11/8/2022 1:00,23,na,91,na,23.3,na,13
"-41.303,146.951",-41.303,146.951,"Exeter,IL",11/8/2022 19:00,9,na,65,na,na,4,9
"34.1992,-118.53275",34.1992,-118.53275,"Encino,TX",11/8/2022 1:00,45,3.4,93,12.2,4.8,na,45
"42.76138,-84.562867",42.76138,-84.562867,"Waverly,SD",11/8/2022 4:00,21,na,69,4.7,10.4,na,21
"49.0520822,8.2527935",49.0520822,8.2527935,"Worth,MO",11/8/2022 11:00,11,na,97,na,na,11,na
"41.051896,-73.763648",41.051896,-73.763648,"Rye,AZ",11/8/2022 4:00,20,0.7,56,15.2,19.2,na,20
"55.85917,-4.258889",55.85917,-4.258889,"Glasgow,PA",11/8/2022 9:00,20,na,93.6,27.9,13.1,9,20
"50.768729,16.269677",50.768729,16.269677,"Waldenburg,AR",11/8/2022 11:00,18,0.1,89.1,2.8,18.2,9,na
"40.743156,-73.585513",40.743156,-73.585513,"Garden City,SD",11/8/2022 4:00,24,1.5,55.5,7.3,18,na,24
"43.52965,-79.862449",43.52965,-79.862449,"Milton,ND",11/8/2022 4:00,10,na,79,3.8,10.4,na,5
"55.97671,-3.59731",55.97671,-3.59731,"Bathgate,ND",11/8/2022 5:00,7,na,81,2.3,16,3,7
"38.68329,-121.16444",38.68329,-121.16444,"Folsom,NM",11/8/2022 1:00,26,na,73,1,25.6,na,na
